policy_id,from_level,to_level,edge_gain,realized_compression_gain,coverage_gain
J100,R0_GRID,R1_CURRENT,8,0.0,0.0
J100,R1_CURRENT,R2_D4,5,0.11764705882352944,-0.11764705882352944
J100,R2_D4,R3_D5,20,0.17647058823529416,-0.1764705882352941
J100,R3_D5,R4_D6,20,0.11764705882352944,-0.11764705882352941
J040,R0_GRID,R1_CURRENT,8,0.0,0.0
J040,R1_CURRENT,R2_D4,5,0.08823529411764708,-0.17647058823529405
J040,R2_D4,R3_D5,20,0.11764705882352944,-0.29411764705882354
J040,R3_D5,R4_D6,20,0.11764705882352944,-0.11764705882352944
J020,R0_GRID,R1_CURRENT,8,0.02941176470588247,0.02941176470588236
J020,R1_CURRENT,R2_D4,5,0.02941176470588225,-0.1470588235294118
J020,R2_D4,R3_D5,20,0.02941176470588247,-0.3529411764705882
J020,R3_D5,R4_D6,20,0.05882352941176472,-0.11764705882352938
